Replica,Caja,Clientes,T_espera_prom,T_servicio_prom,T_sistema_prom,Rapido,Normal,Lento,Muy lento,Retiros,Pagos
1,1,95,2.8904773681241216,2.8569675552599483,5.747444923384068,22,25,22,26,63,32
1,2,82,6.4647845883186825,3.46306788861052,9.927852476929205,19,24,15,24,54,28
1,3,88,3.0522465381264485,2.977737105334954,6.0299836434614,14,38,21,15,69,19
2,1,81,5.199190270734406,3.2908553359837187,8.490045606718125,11,43,15,12,62,19
2,2,87,15.625358160784124,4.509960878989507,20.135319039773634,19,30,18,20,60,27
2,3,72,3.090707222906659,3.472294242081973,6.563001464988634,12,25,18,17,50,22
3,1,93,2.399565740347019,3.0267002154356857,5.426265955782705,25,29,16,23,65,28
3,2,83,2.6515555579797057,3.1984258837563337,5.849981441736041,17,26,15,25,53,30
3,3,75,12.004472987820314,4.60563218283798,16.610105170658297,12,29,6,28,52,23
4,1,81,3.0703039381318664,2.4822585592969877,5.552562497428855,19,32,17,13,58,23
4,2,82,4.167240733781595,2.976440290185551,7.143681023967147,18,21,19,24,56,26
4,3,69,6.850748497005347,3.882676851632453,10.733425348637804,13,24,8,24,45,24
5,1,86,1.9969935710643911,2.793164898118437,4.790158469182825,18,31,16,21,55,31
5,2,85,3.4396102440333696,3.023458042773939,6.463068286807311,16,30,18,21,60,25
5,3,94,9.052186186247283,3.723877119721573,12.776063305968854,16,32,28,18,64,30
6,1,81,1.4881928605848445,2.8139307962449203,4.302123656829764,20,23,19,19,55,26
6,2,81,8.74656235004474,4.094599010342606,12.841161360387346,14,28,17,22,54,27
6,3,81,6.581149266407579,3.7723708878852182,10.353520154292797,10,23,28,20,54,27
7,1,80,2.8769517644522993,3.1460084244179027,6.0229601888702025,15,31,19,15,59,21
7,2,86,3.4640503822573785,3.1025028062323585,6.566553188489736,20,28,17,21,62,24
7,3,67,2.4685652539255893,3.2788930217884733,5.747458275714062,10,27,10,20,51,16
8,1,89,5.545725963305496,3.3791678033867747,8.92489376669227,13,33,23,20,63,26
8,2,78,0.7911194206218445,2.2858885608816206,3.0770079815034648,15,24,19,20,52,26
8,3,96,3.7046868220171696,2.8510502714553,6.55573709347247,14,34,28,20,63,33
9,1,83,3.391544532458263,2.591068676865513,5.982613209323777,15,33,17,18,63,20
9,2,83,12.11736417336958,3.886123392109423,16.003487565479002,16,27,15,25,61,22
9,3,74,1.5104836873264964,2.7769637209790474,4.287447408305544,14,30,16,14,60,14
10,1,85,2.454207070774014,3.020244223815119,5.474451294589134,21,31,12,21,59,26
10,2,68,1.8615648543457994,2.722211549355544,4.583776403701343,12,27,16,13,45,23
10,3,84,1.5191880193467864,2.493845179603908,4.013033198950693,26,24,13,21,65,19
